Element,Beschreibung
Befestigte Fläche,"Mittelgraue versiegelte Pflasterfläche, Steingröße ca. 10x20x8 cm"
Stellplätze,Mit dunkelgrauen Pflastersteinen markiert
Entwässerung,Dreireihige Pflasterrinne an Längsseiten und Torausfahrten
Grünflächen,"Freiwachsende Hecke aus weißen Anemonen-Bergreben, Rasenflächen vor dem Gebäude"
Einfriedung,"Dunkelgrauer Stabgitterzaun (ca. 2,00 m hoch) mit Kletterpflanzen"
Bäume,"Fünf neue Feld-Ahornbäume (Umfang 20/25 cm), 19 bestehende Pappeln bleiben erhalten"
Feuerwehrfläche,Mit Rasengittersteinen und Rasen bedeckt
Müllentsorgung,Versenkbare Müllcontainer an der östlichen Gebäudeseite
Zugang,"Zwei elektrische Schiebetore mit Feuerwehrschließung, dunkelgrau"
Beleuchtung,Mastleuchten und Lichtleiste unter Auskragung
